UMAP1,UMAP2,temp
14.622419,9.043272,325.0
14.7951355,9.354556,325.5
14.197679,9.170429,326.0
14.55526,8.989046,326.5
14.298638,8.972633,327.0
14.353782,8.40691,327.5
14.286657,8.617417,328.0
14.30921,9.25123,328.5
14.13708,9.208949,329.0
14.593424,8.817794,329.5
14.21957,8.693229,330.0
14.121346,8.681731,330.5
14.191657,8.794451,331.0
14.453367,8.90111,331.5
14.210049,8.685745,332.0
14.250281,8.715389,332.5
15.362782,8.354968,333.0
15.900593,8.662278,333.5
15.236251,8.425337,334.0
14.221375,9.26457,334.5
15.161118,8.360408,335.0
14.592118,8.422746,335.5
15.24183,8.503108,336.0
15.524147,8.241856,336.5
14.130975,8.528972,337.0
14.301311,8.593505,337.5
14.128967,8.8399105,338.0
14.313954,8.963242,338.5
14.13356,8.739248,339.0
14.237468,8.484163,339.5
14.674646,8.678745,340.0
15.614113,9.0439825,340.5
15.528158,8.442458,341.0
15.287751,8.58426,341.5
15.641062,8.927154,342.0
15.439483,8.245317,342.5
15.185876,8.721884,343.0
15.466893,8.691316,343.5
15.134451,8.62102,344.0
14.792031,8.540717,344.5
14.191879,9.067878,345.0
15.290761,8.771944,345.5
14.811922,8.645288,346.0
14.756228,8.448925,346.5
15.498661,8.865703,347.0
14.823505,8.6284685,347.5
15.795643,8.987533,348.0
14.148956,8.475589,348.5
14.14363,8.829503,349.0
14.443254,8.38564,349.5
14.700328,7.870339,350.0
13.932326,6.376063,350.5
13.876916,6.3257194,351.0
13.894306,6.475958,351.5
13.911497,6.109955,352.0
14.005908,5.9327965,352.5
14.10983,6.7167664,353.0
14.053469,6.216038,353.5
13.841187,6.2522707,354.0
13.946198,5.969325,354.5
13.74374,6.0054336,355.0
13.841287,6.039411,355.5
13.734373,6.1090965,356.0
13.893392,6.0240035,356.5
13.710256,6.0529313,357.0
13.688426,6.1219215,357.5
13.977608,6.1168594,358.0
13.6797285,6.004972,358.5
13.716133,6.013941,359.0
13.706567,6.042058,359.5
13.869278,6.2041693,360.0
13.8475895,6.130855,360.5
13.916163,5.8466434,361.0
13.8265915,6.115353,361.5
14.237806,5.9760585,362.0
13.790285,5.9058733,362.5
13.62418,6.144432,363.0
14.003901,5.8904524,363.5
13.77055,5.8862286,364.0
14.19226,6.3117023,364.5
13.980724,5.8725767,365.0
14.765043,7.591094,365.5
14.548362,7.3116097,366.0
14.734237,7.4871197,366.5
14.606709,7.60058,367.0
14.399767,6.58398,367.5
15.018507,8.0084305,368.0
14.732864,7.5869374,368.5
14.718736,7.457946,369.0
14.595157,7.6732316,369.5
14.541871,7.7875214,370.0
14.46583,7.2465224,370.5
14.698586,7.528797,371.0
15.832636,8.318674,371.5
14.115372,7.035186,372.0
13.954165,6.2838674,372.5
14.113334,6.3219934,373.0
14.668415,7.382322,373.5
14.318296,6.5829654,374.0
