UMAP1,UMAP2,Cluster_6,temp,Grid_X,Grid_Y,State_6,Cluster_Change
6.219135,5.0444784,2,316.0,0,0,rubbery,False
6.2374625,4.975526,2,316.5,0,0,rubbery,False
6.378435,5.04403,2,317.0,0,0,rubbery,False
6.0737123,4.8364787,2,317.5,0,0,rubbery,False
6.543509,4.9140353,2,318.0,0,0,rubbery,False
6.5188823,5.132368,2,318.5,0,0,rubbery,False
6.6497154,4.9157324,2,319.0,0,0,rubbery,False
6.3543315,4.9794483,2,319.5,0,0,rubbery,False
6.6586757,4.94551,2,320.0,0,0,rubbery,False
6.603154,4.962196,2,320.5,0,0,rubbery,False
1.5051786,5.537738,4,321.0,0,0,glassy,True
6.388176,4.9450355,2,321.5,0,0,rubbery,True
6.773343,4.8849764,2,322.0,0,0,rubbery,False
6.8905277,4.879263,2,322.5,0,0,rubbery,False
6.7754493,4.9699664,2,323.0,0,0,rubbery,False
6.6990247,4.9839115,2,323.5,0,0,rubbery,False
6.6810327,5.046973,2,324.0,0,0,rubbery,False
6.9459004,4.971735,2,324.5,0,0,rubbery,False
6.91027,4.937809,2,325.0,0,0,rubbery,False
7.0138116,4.917148,2,325.5,0,0,rubbery,False
7.0357823,4.9724293,2,326.0,0,0,rubbery,False
7.1186256,4.8906035,2,326.5,0,0,rubbery,False
7.127549,4.916158,2,327.0,0,0,rubbery,False
7.1788416,4.877552,2,327.5,0,0,rubbery,False
7.6263256,4.8396106,2,328.0,0,0,rubbery,False
8.0204735,4.7662497,2,328.5,0,0,rubbery,False
7.727534,4.8181953,2,329.0,0,0,rubbery,False
8.035502,4.738381,2,329.5,0,0,rubbery,False
8.236139,4.71233,2,330.0,0,0,rubbery,False
8.252408,4.720622,2,330.5,0,0,rubbery,False
8.261289,4.6715937,2,331.0,0,0,rubbery,False
8.308171,4.7538733,2,331.5,0,0,rubbery,False
8.295476,4.597106,2,332.0,0,0,rubbery,False
8.277406,4.6319537,2,332.5,0,0,rubbery,False
8.347067,4.692434,2,333.0,0,0,rubbery,False
8.409299,4.692171,2,333.5,0,0,rubbery,False
8.452561,4.7149177,2,334.0,0,0,rubbery,False
8.364065,4.644562,2,334.5,0,0,rubbery,False
8.466461,4.60548,2,335.0,0,0,rubbery,False
8.447868,4.637389,2,335.5,0,0,rubbery,False
8.359544,4.6400886,2,336.0,0,0,rubbery,False
8.401912,4.739096,2,336.5,0,0,rubbery,False
8.471034,4.668879,2,337.0,0,0,rubbery,False
8.295501,4.734392,2,337.5,0,0,rubbery,False
8.45661,4.704493,2,338.0,0,0,rubbery,False
8.454892,4.6904974,2,338.5,0,0,rubbery,False
8.302328,4.8280206,2,339.0,0,0,rubbery,False
8.510923,4.736837,2,339.5,0,0,rubbery,False
11.170656,30.679049,0,340.0,1,3,rubbery,False
11.1584,30.662973,0,340.5,1,3,rubbery,False
11.188372,30.638609,0,341.0,1,3,rubbery,False
11.25922,30.665436,0,341.5,1,3,rubbery,False
11.260757,30.63657,0,342.0,1,3,rubbery,False
11.1457405,30.682796,0,342.5,1,3,rubbery,False
11.218609,30.747225,0,343.0,1,3,rubbery,False
11.041122,30.74446,0,343.5,1,3,rubbery,False
11.082687,30.74504,0,344.0,1,3,rubbery,False
11.175559,30.598862,0,344.5,1,3,rubbery,False
11.141968,30.750275,0,345.0,1,3,rubbery,False
11.317589,30.64075,0,345.5,1,3,rubbery,False
11.295656,30.606142,0,346.0,1,3,rubbery,False
11.137058,30.611967,0,346.5,1,3,rubbery,False
11.165364,30.659552,0,347.0,1,3,rubbery,False
11.179029,30.679728,0,347.5,1,3,rubbery,False
11.090501,30.726978,0,348.0,1,3,rubbery,False
11.319603,30.515192,0,348.5,1,3,rubbery,False
11.536889,30.735113,0,349.0,1,3,rubbery,False
11.679833,30.68771,0,349.5,1,3,rubbery,False
11.970295,30.728512,0,350.0,1,3,rubbery,False
12.047871,30.702478,0,350.5,1,3,rubbery,False
12.141273,30.739744,0,351.0,1,3,rubbery,False
12.291682,30.857508,0,351.5,1,3,rubbery,False
12.171047,30.773521,0,352.0,1,3,rubbery,False
12.158923,30.719957,0,352.5,1,3,rubbery,False
12.195484,30.73726,0,353.0,1,3,rubbery,False
12.094676,30.68835,0,353.5,1,3,rubbery,False
12.137835,30.700895,0,354.0,1,3,rubbery,False
12.2042,30.763811,0,354.5,1,3,rubbery,False
12.076562,30.679508,0,355.0,1,3,rubbery,False
12.325823,30.726084,0,355.5,1,3,rubbery,False
12.368189,30.801876,0,356.0,1,3,rubbery,False
12.409589,30.80751,0,356.5,1,3,rubbery,False
12.497381,30.791939,0,357.0,1,3,rubbery,False
13.08111,30.871897,0,357.5,1,3,rubbery,False
12.45044,30.781553,0,358.0,1,3,rubbery,False
13.01564,30.835117,0,358.5,1,3,rubbery,False
13.0963955,30.946527,0,359.0,1,3,rubbery,False
13.172888,30.870012,0,359.5,1,3,rubbery,False
13.4969225,30.926376,0,360.0,1,3,rubbery,False
13.429428,30.873154,0,360.5,1,3,rubbery,False
13.544364,30.862556,0,361.0,1,3,rubbery,False
13.387617,30.938862,0,361.5,1,3,rubbery,False
13.314766,30.914066,0,362.0,1,3,rubbery,False
13.357079,30.836157,0,362.5,1,3,rubbery,False
13.279049,30.893467,0,363.0,1,3,rubbery,False
13.45427,30.8183,0,363.5,1,3,rubbery,False
13.435994,30.86357,0,364.0,1,3,rubbery,False
13.474277,30.900068,0,364.5,1,3,rubbery,False
13.503574,30.93305,0,365.0,1,3,rubbery,False
13.536607,30.850664,0,365.5,1,3,rubbery,False
13.523011,30.884304,0,366.0,1,3,rubbery,False
