temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
238.0,-11.268553,-5.8315587,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
238.5,-10.972903,-6.2781863,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
239.0,-11.253529,-5.9058228,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
239.5,-11.422543,-6.044118,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
240.0,-11.136369,-5.7300115,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
240.5,-10.645484,-7.3992267,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
241.0,-11.185247,-7.0380926,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
241.5,-11.143182,-7.287351,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
242.0,-11.579863,-6.872494,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
242.5,-11.317684,-7.8636155,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
243.0,-11.173216,-7.039382,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
243.5,-11.4384985,-7.3452854,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
244.0,-10.704046,-7.6154594,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
244.5,-11.462923,-7.2812824,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
245.0,-11.523879,-7.118273,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
245.5,-11.327904,-7.0348225,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
246.0,-11.794091,-7.2469354,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
246.5,-11.501691,-7.6151757,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
247.0,-11.776151,-6.6219635,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
247.5,-11.508037,-7.422482,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
248.0,-10.447294,-7.49479,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
